ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2017,"2017",51339,1406,"Adrian, MI","31000US10300","adrian-mi-micro-area"
2017,"2017",59479,1498,"Monroe, MI","31000US33780","monroe-mi-metro-area"
2017,"2017",65618,1092,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",49715,1516,"Jackson, MI","31000US27100","jackson-mi-metro-area"
2017,"2017",56339,303,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-livonia-mi-metro-area"
2017,"2017",52668,180,"Michigan","04000US26","michigan"
2016,"2016",50803,162,"Michigan","04000US26","michigan"
2016,"2016",54037,312,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-livonia-mi-metro-area"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",62484,984.0000000000001,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2016,"2016",56968,1251,"Monroe, MI","31000US33780","monroe-mi-metro-area"
2016,"2016",47709,1530,"Jackson, MI","31000US27100","jackson-mi-metro-area"
2016,"2016",49300,1450,"Adrian, MI","31000US10300","adrian-mi-micro-area"
2015,"2015",49576,186,"Michigan","04000US26","michigan"
2015,"2015",52603,320,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-livonia-mi-metro-area"
2015,"2015",46326,1459,"Jackson, MI","31000US27100","jackson-mi-metro-area"
2015,"2015",55653,1535,"Monroe, MI","31000US33780","monroe-mi-metro-area"
2015,"2015",48043,1244,"Adrian, MI","31000US10300","adrian-mi-micro-area"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",61003,901,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2014,"2014",49087,192,"Michigan","04000US26","michigan"
2014,"2014",48118,1412,"Adrian, MI","31000US10300","adrian-mi-micro-area"
2014,"2014",60805,958,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2014,"2014",53482,95,"United States","01000US","united-states"
2014,"2014",45452,1505,"Jackson, MI","31000US27100","jackson-mi-metro-area"
2014,"2014",54911,1396,"Monroe, MI","31000US33780","monroe-mi-metro-area"
2014,"2014",52305,232.99999999999997,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-livonia-mi-metro-area"
2013,"2013",53972,1191,"Monroe, MI","31000US33780","monroe-mi-metro-area"
2013,"2013",46615,1363,"Jackson, MI","31000US27100","jackson-mi-metro-area"
2013,"2013",51844,241,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-livonia-mi-metro-area"
2013,"2013",59055,984.9999999999999,"Ann Arbor, MI","31000US11460","ann-arbor-mi-metro-area"
2013,"2013",47766,1481,"Adrian, MI","31000US10300","adrian-mi-micro-area"
2013,"2013",48411,163,"Michigan","04000US26","michigan"
2013,"2013",53046,89,"United States","01000US","united-states"